sat_id,x,y,z
0,-1187856.28332773,-1873302.20690288,2894046.77502409
1,-1174080.43586106,-1805950.1062771,2937518.22450882
2,-1142032.6070239,-1843987.01273274,2917934.02532028
3,-1219204.8424059,-1816813.76970142,2899690.05314133
4,-1088428.79664846,-1818576.79759464,2983064.57357132
5,-1181848.78858386,-1812904.99317653,2926697.26835867
6,-1166718.70227036,-1855112.12700072,2899750.45189369
7,-1152604.21532314,-1813205.16069556,2949335.83940548
8,-1169964.71141684,-1786753.87183963,2953361.18245951
9,-1137337.7249112,-1846310.79105766,2937624.45044216
10,-1127663.26357753,-1782954.71584509,2991838.16649057
11,-1167215.50584852,-1813076.94274139,2923937.01490447
12,-1151884.45507435,-1864983.5779296,2881658.42966133
13,-1081821.4875666,-1826822.06542161,2986948.80535272
14,-1126120.61346284,-1815742.85903493,2980932.26945396
15,-1166917.58739814,-1808491.57311827,2932531.50083058
16,-1181574.3993075,-1853770.2505557,2912504.07522427
17,-1152044.55932248,-1781044.62885305,2958576.25420458
18,-1170439.25119507,-1824603.64544179,2914233.22317056
19,-1137827.5485488,-1847041.06930769,2918571.44789667
20,-1174629.82705623,-1821969.04745483,2934650.00195191
21,-1212208.90582889,-1891522.40970895,2852448.73764331
22,-1184892.41428921,-1861380.77901664,2891144.68998699
23,-1152505.47563227,-1870276.78116129,2878526.29691368
24,-1154762.9190302,-1785678.41219377,2941431.13953007
25,-1115988.82205721,-1820759.46473068,2957501.98429299
26,-1219742.56356872,-1807840.47788824,2895726.52620289
27,-1190640.05733857,-1831125.31381407,2911893.78696443
28,-1203840.90122666,-1783835.95762382,2947921.89816785
29,-1174809.86999072,-1777897.34109261,2960735.07904345
30,-1182309.76013395,-1821919.32076167,2918428.75161459
31,-1095815.81024281,-1765305.62406144,3009191.6748562
32,-1151199.30452582,-1865575.57871036,2905433.69171737
33,-1180836.34711177,-1837575.07544207,2908891.35874741
34,-1195081.56016111,-1833947.50904415,2883208.91103361
35,-1205756.67413559,-1830688.71827631,2929298.69954755
36,-1103255.37219564,-1901888.61379346,2881138.95592119
37,-1161646.59351583,-1909141.6265175,2839424.76878103
38,-1175118.09180754,-1881018.04331143,2860070.70354825
39,-1142020.61552223,-1854788.94528923,2893624.60389647
40,-1199197.80761848,-1798496.74345797,2918207.70735706
41,-1179107.44867777,-1815391.58215621,2919228.14266492
42,-1175180.90711599,-1831711.40733579,2920191.49416784
43,-1214198.8706493,-1835407.60168399,2880340.99380963
44,-1168606.11660917,-1819941.95723679,2930453.46383884
45,-1171035.91244092,-1845107.220887,2917005.11019614
46,-1161328.22087739,-1794773.61442305,2984731.90200486
47,-1144001.73765322,-1756541.05827633,3019574.77664779
48,-1152382.35075623,-1797888.23234251,2969236.56413823
49,-1124359.47171701,-1778732.37838172,2983275.84470252
50,-1145748.13440806,-1839834.36150015,2913709.35071801
51,-1142183.85892428,-1834877.96891911,2945000.75857021
52,-1161218.30251215,-1826176.6018044,2943341.62989603
53,-1189535.03222857,-1795432.28461796,2931031.04432639
54,-1125959.84713191,-1724708.46332717,3031647.03765988
55,-1125104.37721489,-1812702.72430685,2966370.15767392
56,-1192965.05648995,-1866762.63398808,2864299.89110562
57,-1195305.78373325,-1824981.62364578,2927408.28581317
58,-1144763.31270402,-1764270.42705209,2993131.44133728
59,-1146999.13152085,-1763019.92938337,3006391.90226915
60,-1134426.92921298,-1812982.63706691,2937178.32880238
61,-1202628.77512722,-1905564.79997386,2828529.79347011
62,-1168941.40781362,-1863192.85488821,2874643.516538
63,-1146889.66582848,-1829501.94965088,2942473.14937842
64,-1151939.87423403,-1772659.4578143,2976109.15485366
65,-1150051.6328633,-1872994.38197761,2888187.2865757
66,-1171372.44326253,-1827368.51799569,2917227.04306821
67,-1106197.7147512,-1826587.20783717,2970626.50834588
68,-1117374.72749266,-1845908.45856586,2917486.04075923
69,-1187681.67000574,-1863360.76700462,2856456.04199761
70,-1134744.45511715,-1878352.36736365,2904918.74193599
71,-1157815.96843947,-1849984.28328919,2916370.72780051
72,-1196872.51623329,-1810284.84480473,2933721.3988272
73,-1133133.10021536,-1820987.89383419,2945247.67832339
74,-1178039.85457359,-1802732.86874366,2934245.88366746
75,-1138611.33813664,-1878909.86870212,2911251.34462203
76,-1182940.39181702,-1898218.94873783,2857859.70713341
77,-1130826.23221241,-1866853.37355457,2901139.82439693
78,-1134303.71611669,-1817991.96926216,2946061.39239639
79,-1163638.58832243,-1875410.89453555,2872493.91660884
80,-1151375.94182513,-1845818.02649322,2942645.86081796
81,-1177817.64287958,-1803052.93734142,2969887.90076018
82,-1131885.38620514,-1790895.93664803,2982140.41189344
83,-1062274.56509382,-1806291.10006001,3022966.82418623
84,-1181025.56430889,-1801119.05537979,2948599.02966246
85,-1176177.40950518,-1757552.87761508,2982006.42461951
86,-1220697.43797018,-1866699.74504335,2842885.85366457
87,-1177648.18607474,-1838163.76677731,2900044.46482352
88,-1147700.08007967,-1767718.50501211,3004419.976902
89,-1125858.98342914,-1769899.18851568,3006600.03837657
90,-1173909.46399012,-1852806.23629698,2904559.55114804
91,-1117393.45244122,-1788545.96068732,3001966.58661977
92,-1062437.11845955,-1726780.39858653,3060589.09517646
93,-1203803.79005542,-1833279.27349776,2906712.48533047
94,-1121429.07909199,-1803789.91029686,2974608.67808061
95,-1143073.78993248,-1873897.40868707,2894274.98428708
96,-1234087.17882389,-1803366.73958522,2919957.65158388
97,-1165015.61567096,-1828237.52849537,2938983.07020681
98,-1171584.17800833,-1778763.0478877,2972620.0650066
99,-1180505.83382697,-1814027.53415914,2898239.17715823
