node_id,x,y,z
0,106909.038231801,82427.536253762,4478969.73545305
1,62580.4597029532,203388.88332235801,4491971.69490896
2,128418.284826345,177243.419968325,4460060.47118201
3,-5204.93827982259,172460.57812211802,4500069.860413901
4,182639.05763511802,153341.833472728,4520936.51513254
5,85414.3835992692,193731.83377957897,4475308.08482729
6,72742.070548489,144641.065972423,4480819.64256158
7,127569.930253781,171079.995980295,4494089.79349285
8,91625.2088611182,199667.92175872897,4505097.19349426
9,109939.81693140599,145498.435676678,4496696.94747866
10,100634.461488243,257550.430432847,4493362.93414061
11,107003.46934356699,200307.42549043102,4468405.13871981
12,132049.316485161,115369.943386444,4470368.6641122
13,199348.75322211898,166577.17605372,4499942.67405543
14,102637.193191974,172823.04045449698,4524163.80523029
15,59095.3170756696,208520.634540357,4490484.14733844
16,75084.0588924704,160281.33140586902,4463482.27745799
17,124700.07030475,226288.607766883,4486887.38628783
18,70855.6160808082,192048.64393157,4476417.73634861
19,140797.291000938,148234.313580442,4475393.17293646
20,45163.045727624005,207897.833947678,4480310.7925634
21,69308.9070855061,69731.9984675711,4464780.67108728
22,63505.2080312122,131137.25845631,4476425.74835055
23,90353.877269735,147594.727893251,4460266.39138472
24,127817.970177217,238530.498668882,4466797.02072206
25,182151.302660994,170950.068240549,4484497.03234054
26,32717.118041179303,188177.543890585,4479162.77632284
27,64209.6333271255,168307.683601412,4478390.95475938
28,40924.7318428464,238770.97563434,4480618.04493036
29,74531.9840163217,249867.456056453,4482283.49938383
30,84617.6249043687,159789.44399854902,4490146.92143585
31,179221.95706728,242671.882877228,4506738.2443451
32,123293.637893909,93647.871324149,4494856.18150807
33,82713.4823063777,158615.475732967,4476157.78914271
34,63441.070018250095,141960.339803622,4486361.442339401
35,39939.164190612,166703.627410723,4485667.67333631
36,116865.371282509,154522.340278206,4441970.01207769
37,38159.998238567,153537.659952919,4428248.61257572
38,70415.575746157,146992.755155038,4442433.76598468
39,113178.53227671901,152562.93644689402,4470152.2481802
40,82973.1974956383,210642.769389237,4465284.16935167
41,96714.4140209958,197834.88023535398,4464778.72433192
42,93522.9630219783,156537.23394461302,4483889.103459099
43,12888.8856650945,186217.36108651603,4463613.74403706
44,83206.8327713499,205409.21942823302,4469595.28892451
45,73740.5059394859,136540.677128393,4496736.65825414
46,95811.5191166773,198599.366666026,4507868.79746334
47,116247.42093579199,214698.113182,4539446.42139094
48,107656.95519709401,210801.559118502,4492497.85576394
49,124643.323039174,263474.86112369,4482010.03905122
50,119933.010417918,174741.49894282199,4466782.98863207
51,125023.193307254,167703.96867817699,4482737.0055109
52,81932.1822868721,185867.164892986,4485857.93484994
53,62980.3480934263,266377.978722418,4443483.42328501
54,194107.75386794,302856.524313641,4476848.16361398
55,143625.098834596,180628.58063471,4499789.88785062
56,70331.6752955695,120404.012315959,4465456.61312017
57,92601.1997280068,133271.972540199,4496779.86261619
58,144636.965952592,226721.457764464,4503904.146451901
59,113718.56111936699,241402.45738600302,4510017.66705226
60,110479.609783409,195992.31771294397,4492223.09028218
61,71325.4069783991,96653.58050881301,4432310.71788608
62,89568.0142023941,137557.579525431,4464129.62542708
63,132695.826929536,137677.987819709,4502804.80305262
64,162843.116378406,212909.058286382,4489708.68679142
65,115431.062646203,107074.479542731,4479049.16943265
66,103633.188702693,150951.990683872,4488933.46558605
67,137754.880943829,169992.978517276,4509364.73953413
68,120789.26776536599,172957.839139085,4479371.59150179
69,80333.7033749042,131657.081693933,4457450.68063718
70,111273.254692934,118919.628120705,4479976.67549948
71,82173.3572625164,158976.285893442,4479609.31869885
72,69470.4002896926,158738.578062816,4503208.13932235
73,137986.374900971,175247.38411406698,4489617.01400366
74,60465.266071355,205952.518640388,4491052.0555774
75,118342.516363751,99841.90221419811,4489061.00180523
76,53456.89452509,84581.0157921822,4473683.05759605
77,128992.915559077,124973.78058987901,4479730.06177888
78,120224.468650205,195171.234116182,4485445.553183099
79,122901.44202702801,124775.84268574,4449228.64872015
80,100800.501553561,146078.343461682,4493731.60595268
81,117701.543740309,152390.846552285,4510791.70819989
82,173312.010239324,209951.242919524,4482987.60825154
83,195412.130303148,189735.579614827,4522612.56825775
84,78484.5786684155,191200.165926452,4496424.12310485
85,72744.4571655749,290446.65725337696,4474486.13002004
86,-29523.807626041602,145813.159549625,4469800.96639568
87,101767.72886070599,149987.792827338,4473101.30033915
88,138751.209372335,239558.98061696198,4494039.33211878
89,153967.21148795198,234886.62903314398,4501890.33609573
90,72067.6537111873,148340.408504888,4477414.79822685
91,162636.783120954,216677.10260597302,4497988.03250187
92,247396.769061337,271952.57803304604,4516494.65354408
93,62970.0063627096,121173.67331397,4501932.76801055
94,158022.900498284,186253.281111472,4500963.03258412
95,144023.815889641,116026.141631332,4463878.15184432
96,7646.3867077859995,211606.05629042102,4473867.23922139
97,96451.9083371639,162357.604357808,4491478.15251555
98,111695.604605266,229431.465623586,4483703.92886694
99,77578.8962923696,238784.396315035,4439144.369121401
